employee_id,company,department,employee_id,age,age_when_joined,years_in_the_company,salary,annual_bonus,prior_years_experience,full_time,part_time,contractor
0,Glasses,BigData,16,41,38,3,68074.97135,17664.1041,3,0,0,1
1,Glasses,AI,56,44,42,2,49092.14746,21551.14108,2,0,0.184991313,1
2,Cheerper,Support,59,41,40,1,40000,23698.87885,2,0,0.919887148,0.66270625
3,Glasses,Design,40,39,32,7,108192.4655,21570.92966,1,0.930395974,0.546205897,0
4,Glasses,Search Engine,47,30,22,9,71291.19113,21565.50572,2,0.525431946,0.938412489,0
5,Cheerper,BigData,13,30,22,7,64959.78673,24792.91,2,0,0.695893563,0.45382831
6,Glasses,Design,34,30,22,7,82031.52506,24792.91,1,0.661900119,0.399304846,0
7,Glasses,Search Engine,53,35,30,5,40863.1099,9660.533707,4,0.101531435,0.381797748,0.516603176
8,Cheerper,BigData,46,49,36,9,54725.12654,21663.42798,1,0.034129274,1,0
9,Pear,Design,56,,48,1,101687.7564,13825.94401,4,0.665749173,0,0.632176069
10,Cheerper,Support,30,36,24,9,75125.0531,16767.95195,3,0.356281462,1,0
11,Glasses,Search Engine,31,45,40,5,84374.00043,17923.82929,2,0.17275196,0.447375965,0.379624955
12,Glasses,Search Engine,40,45,40,5,57256.1458,12033.81761,2,0,0.206175331,0.862378597
13,Pear,Design,1,38,35,4,123662.8408,24792.91,1,0.49831948,0,0.515803504
14,Cheerper,Search Engine,25,36,29,7,106540.1545,12360.71793,5,1,0.178923742,0
15,Glasses,Search Engine,36,31,24,7,48941.6334,23767.17534,1,0,0.555317065,0.74106887
16,Cheerper,Support,71,45,42,3,40000,15230.54691,3,0,1,0.51137004
17,Glasses,Support,34,34,31,2,40000,24792.91,1,0,0.840729689,1
18,Glasses,Search Engine,40,38,34,5,68196.88887,18198.86656,3,0.058019666,0.481599554,0.460923833
19,Pear,Sales,26,34,33,1,115645.6338,23661.83841,2,0.853299719,0,1
20,Glasses,Design,1,30,22,7,138211.8841,17563.34903,3,0.950701829,0.101903099,0
21,Cheerper,AI,3,44,40,4,153000,24792.91,1,0.767666518,0.727030918,0
22,Cheerper,Support,37,41,38,3,85850.61192,20306.75664,3,0.050718585,0.946419417,0.002431809
23,Cheerper,Support,1,35,26,9,66542.9596,24792.91,1,0,1,0.356340976
24,Glasses,AI,33,40,39,1,89401.36522,14636.83277,3,0.438441805,0,0.685597234
25,Pear,Design,70,41,38,2,45963.96145,17807.97705,2,0.121798058,0.026019831,0.852641162
26,Glasses,Search Engine,26,42,38,4,84410.50319,22072.74522,2,0.021486408,0.531175012,0.447369851
27,Cheerper,BigData,21,48,45,3,76472.43419,13060.17708,2,0,0.300298708,0.942134384
28,Glasses,Design,66,49,48,2,107986.1742,11295.34821,3,0.770780681,0.003328177,0.225411854
29,Pear,Sales,1,35,32,3,119108.6654,19921.34035,2,0.641422794,0,0.453527279
30,Glasses,Search Engine,47,33,31,2,88736.54865,15927.7152,5,0.800813384,0.186184687,0.013307757
31,Glasses,Search Engine,1,34,28,5,75299.8043,24792.91,1,0,0.491135983,0.906683764
32,Pear,Sales,1,37,31,6,110386.5503,23377.17434,1,0.381957602,0,0.630404674
33,Glasses,AI,8,30,24,5,105486.2466,20334.50755,4,0.867581619,0.044299978,0.087761535
34,Pear,AI,27,34,30,4,91059.78921,13354.91817,3,0.637348097,0,0.436091966
35,Pear,Design,16,39,39,1,108899.4727,23511.43509,2,0.466002511,0,0.846939986
36,Cheerper,Support,53,39,37,2,57027.8944,23482.43983,1,0,0.779373204,0.704132912
37,Cheerper,BigData,41,41,36,5,106403.8175,9265.654714,5,0.885257715,0.7067105,0
38,Glasses,BigData,1,42,34,7,98891.57784,9826.200491,4,0.579329205,0.458119972,0
39,Glasses,Search Engine,3,30,25,5,91090.64693,16359.00336,2,0.080478756,0.503239309,0.415996506
40,Glasses,AI,1,30,26,3,125833.2581,20269.54581,4,0.634263643,0.223942481,0.140789396
41,Cheerper,Search Engine,23,34,24,9,79569.97917,13923.19438,3,0.358300321,0.856084405,0
42,Glasses,Search Engine,1,30,29,2,93265.04394,24792.91,2,0.080290752,0.308759485,0.611325431
43,Cheerper,BigData,7,41,37,4,95463.68057,18854.90825,2,0,0.630736454,0.413313296
44,Glasses,AI,36,44,41,4,99278.13715,18677.43715,2,0.57184544,0.279768207,0.148932502
45,Glasses,Design,49,46,43,4,66945.91375,22358.01358,1,0,0.31596132,0.873384458
46,Glasses,BigData,41,30,24,5,40000,23314.23139,2,0,0.634949892,0.857971935
47,Glasses,AI,1,30,22,8,110570.7121,22093.52199,1,0.392355513,0.055869655,0.552222444
